ID_ALMACENAMIENTO;NOMBRE;NIVEL_ABASTECIMIENTO;ID_PRODUCTO;CANTIDAD
6;Skirt - 29 Foot;10;Skirt - 29 Foot;944
6;Gingerale - Diet - Schweppes;8;Gingerale - Diet - Schweppes;501
1;Nut - Hazelnut, Ground, Natural;10;Nut - Hazelnut, Ground, Natural;996
2;Wine - Muscadet Sur Lie;3;Wine - Muscadet Sur Lie;520
2;Bread - Bagels, Plain;1;Bread - Bagels, Plain;685
5;Soup - Campbells Chili Veg;2;Soup - Campbells Chili Veg;671
4;Veal - Slab Bacon;3;Veal - Slab Bacon;801
3;Tomatoes Tear Drop Yellow;7;Tomatoes Tear Drop Yellow;931
5;Skewers - Bamboo;6;Skewers - Bamboo;35
9;Wine - Montecillo Rioja Crianza;7;Wine - Montecillo Rioja Crianza;356
5;Barley - Pearl;10;Barley - Pearl;899
4;Plasticforkblack;3;Plasticforkblack;739
7;Nantucket - Pomegranate Pear;8;Nantucket - Pomegranate Pear;477
9;Taro Leaves;1;Taro Leaves;166
10;Jicama;7;Jicama;204
2;Scallops - 20/30;3;Scallops - 20/30;973
4;Cups 10oz Trans;1;Cups 10oz Trans;372
5;Ham - Smoked, Bone - In;4;Ham - Smoked, Bone - In;692
4;Silicone Paper 16.5x24;10;Silicone Paper 16.5x24;371
8;Soup Campbells - Italian Wedding;8;Soup Campbells - Italian Wedding;232
10;Lid Coffeecup 12oz D9542b;6;Lid Coffeecup 12oz D9542b;660
6;Chicken - Diced, Cooked;1;Chicken - Diced, Cooked;891
5;Fruit Salad Deluxe;1;Fruit Salad Deluxe;180
9;Tray - 16in Rnd Blk;5;Tray - 16in Rnd Blk;797
6;Energy Drink Bawls;5;Energy Drink Bawls;921
9;Honey - Lavender;9;Honey - Lavender;317
2;Pastry - Raisin Muffin - Mini;9;Pastry - Raisin Muffin - Mini;155
6;Bread - Corn Muffaletta;5;Bread - Corn Muffaletta;787
5;Bananas;7;Bananas;966
3;Ecolab - Solid Fusion;3;Ecolab - Solid Fusion;37
4;Wine - Prem Select Charddonany;4;Wine - Prem Select Charddonany;870
4;Cheese - Grana Padano;5;Cheese - Grana Padano;913
1;Carbonated Water - Orange;4;Carbonated Water - Orange;601
5;Quail - Whole, Boneless;4;Quail - Whole, Boneless;514
10;Syrup - Kahlua Chocolate;4;Syrup - Kahlua Chocolate;210
10;Wine - Red, Harrow Estates, Cab;9;Wine - Red, Harrow Estates, Cab;678
1;Soup - Campbells Tomato Ravioli;6;Soup - Campbells Tomato Ravioli;817
8;Black Currants;2;Black Currants;120
2;Rum - White, Gg White;5;Rum - White, Gg White;786
1;Potatoes - Instant, Mashed;4;Potatoes - Instant, Mashed;274
3;Towels - Paper / Kraft;10;Towels - Paper / Kraft;383
3;Carbonated Water - Orange;4;Carbonated Water - Orange;40
8;Ham Black Forest;6;Ham Black Forest;724
2;Pepper Squash;8;Pepper Squash;205
1;Wine - Beringer Founders Estate;9;Wine - Beringer Founders Estate;361
3;Wine - Beaujolais Villages;6;Wine - Beaujolais Villages;12
8;Beef - Ox Tail, Frozen;2;Beef - Ox Tail, Frozen;46
10;Cookies Oatmeal Raisin;9;Cookies Oatmeal Raisin;95
6;Wine - Muscadet Sur Lie;9;Wine - Muscadet Sur Lie;67
3;Lambcasing;4;Lambcasing;13
8;Jam - Raspberry;8;Jam - Raspberry;359
3;Paper - Brown Paper Mini Cups;2;Paper - Brown Paper Mini Cups;773
6;Tarragon - Primerba, Paste;6;Tarragon - Primerba, Paste;883
8;Extract - Raspberry;8;Extract - Raspberry;527
1;Grenadine;4;Grenadine;8
6;Beef - Rouladin, Sliced;2;Beef - Rouladin, Sliced;500
7;Mince Meat - Filling;5;Mince Meat - Filling;77
6;Tomatoes - Plum, Canned;10;Tomatoes - Plum, Canned;887
1;Pail With Metal Handle 16l White;1;Pail With Metal Handle 16l White;112
10;Longos - Chicken Cordon Bleu;8;Longos - Chicken Cordon Bleu;428
3;Beef - Prime Rib Aaa;2;Beef - Prime Rib Aaa;26
5;Liqueur Banana, Ramazzotti;3;Liqueur Banana, Ramazzotti;690
5;Sauce - Thousand Island;8;Sauce - Thousand Island;779
10;Containter - 3oz Microwave Rect.;2;Containter - 3oz Microwave Rect.;220
6;Dried Cherries;2;Dried Cherries;198
1;Appetiser - Bought;5;Appetiser - Bought;106
6;Quail - Jumbo;3;Quail - Jumbo;67
4;Beef - Texas Style Burger;10;Beef - Texas Style Burger;956
7;Coffee - Beans, Whole;10;Coffee - Beans, Whole;505
10;Coffee Cup 16oz Foam;1;Coffee Cup 16oz Foam;666
4;Bread - White, Unsliced;1;Bread - White, Unsliced;809
4;Cherries - Frozen;10;Cherries - Frozen;504
