NUMERO_FACTURA;CODIGO_DE_BARRAS;59
726212;337941879017969;19
181409;493680933133069568;8
26601;5020817599457803;37
329305;5327215463467380;76
205766;5602218602555988;62
471908;676303527368829696;60
546697;5018503327573723;14
36327;3534911510398222;72
533962;5106063004733341;68
337231;5100178947006948;26
539295;3586408549253368;73
765090;374622400076682;43
465633;3545767818095507;83
98547;633110513166994560;67
661637;501828722216780160;58
5162;3540143999726408;26
864684;5100175683357162;87
371376;3573240520799902;46
80620;3558541456895914;98
584528;3535990494474810;100
170030;3542345788387890;13
971278;6304722625653042;29
235099;67634359503121872;46
909941;3540910239637201;56
130399;633338663598467968;50
42654;3552027304647455;4
126133;3565901188534150;5
587730;3579599423452230;68
780085;502007605479740224;18
578906;4405793801182133;39
785765;560222229148630400;29
590490;30072360443397;57
429337;374283280007899;25
591221;6334512772907113472;73
5755;67615960293130128;74
946117;3586432686497513;38
279994;6390166196075372;38
883479;5641823982970262528;25
550117;3574746545011320;44
425220;5602248516310337;10
191091;6331103022257224704;74
837279;3577600336929785;21
282661;5018764549723479040;5
330319;3545130979850600;31
85866;3535037139630594;65
891654;4936405980376724480;19
495635;3540712370937204;48
414049;4508780846481006;27
769390;201969848525443;72
675192;4041594671638521;6
881141;6304794861444253;88
77872;67617221478788368;57
685351;3553827633463329;73
314775;5018339682398530560;13
906818;201847708240727;32
549380;633336516049473536;11
616263;3561580031820182;18
21819;4017950829912939;59
513125;490318624165102080;34
451077;67593670836414672;45
323483;493641230638470016;75
802552;6334171246658490368;54
279696;3553315587246791;89
452689;337941314197202;51
248263;3568172381645790;15
927228;3561381496307769;91
533188;5440995005593668;38
454452;3547254920165419;78
326284;3578531497651281;37
922231;6333895905436075;56
999440;3586730475871842;62
567329;3576001329204123;36
487967;675906188118563072;89
172578;5602249681244228;63
62597;3549477804954859;60
863338;3535285300379141;98
342783;3537786711369843;100
829597;5100179162208250;44
225613;6763759445442606;24
889767;3569005172665974;11
391302;3542006665105546;27
452284;201740358135638;82
980301;3535889384043919;24
840950;4508213770702338;18
425500;3584807163163815;23
849873;3568716564455763;98
981317;3552230782172448;31
909440;3585527456967289;73
306840;5002352372788101;26
853557;5602248455750857;26
643527;3550084771073618;68
749717;3540574341306509;64
437613;5602210124283157;65
956264;3579459584340221;33
173264;3541232416113065;31
210005;3551687387072276;23
96528;30348985568085;90
529911;374622699789425;8
175339;3538067166788921;40
976696;3579225285056543;52
214722;372301137660215;43
530882;201624111089334;62
891747;3573227535348668;10
884609;4911497130024458240;45
875070;3548276016689209;32
603480;4911231442918135808;75
263702;3574084462086731;81
883111;3533906528866146;95
802511;3532328110332323;45
74984;3555574301058373;50
96669;346344641748871;71
687591;3543874393821075;23
997811;201527915726953;100
823881;4913183804216846;55
335010;30343736864024;95
11320;67095568182017488;60
890303;1;84
607597;2;100
810320;3;56
308677;4;27
835059;5;86
210393;6;33
122790;7;73
925662;8;78
616410;9;73
561606;10;79
373560;5602237354471566;62
580077;3556799183786275;90
756514;3563229062005887;64
597300;6767461328724472832;57
408649;3571626081343928;19
603684;3567261967897064;61
900068;6376281950381086;55
159391;5503978860865862;7
744436;3570755883293121;54
929354;5602213929749331;59
228338;50208202650711416;74
30748;6334788278218721280;92
459828;4405681080454606;91
37181;5602211708456975360;66
283302;493618568679849152;88
389821;5602211779019419648;48
886650;3530830671087040;82
264823;30477336399799;38
549800;3545803076830119;54
969711;3539774807949098;85
154195;379382114068062;44
404305;5018747836447362;23
219550;3568240334062072;100
932218;604024927497875;10
415164;3584999996058377;13
515163;5149264255098256;57
779844;67634521163957808;49
9764;3531605966405324;13
551707;6761236828623856;10
295160;4911719307265434;4
757222;3573641762076141;15
811448;4175003931790856;9
284292;30557583725059;26
519782;3549457378982908;93
690132;3546535385852058;37
472254;5433947833471434;15
952824;5018553727497015;11
235458;3566107033368872;16
943682;4607025721158;4
936100;5100134245447953;95
449358;3559389995530942;23
449442;201553062694687;76
360816;5100139765629542;90
844352;4839532026239302;66
159246;372301125279341;26
688973;5475769920203499;29
112562;3588562559288512;69
721549;5100147036203039;8
189962;3552855325595810;79
441043;6392150315718201;55
655853;3558765538431584;53
871069;4017955950993;63
21070;3540046260028810;89
631398;3528051252737812;8
885100;3540123007093421;24
485427;3563725397731402;48
957944;630499292918727552;60
337846;560222090634633856;86
449330;3587318974437007;96
871888;5048375299364645;25
273293;6333362237678130;66
712866;4175002620999182;84
447448;4905982909158273024;44
28338;3548779897541597;51
53614;3538972257532510;1
673024;201485832731111;61
850307;3533099192140723;10
558371;5108752168227367;23
574125;5602256855554209;83
806072;3584342611815378;4
9455;30034913267285;69
392176;3557016763912679;53
579776;3588381698112107;14
630150;63049361901478344;66
801083;337941268725966;20
734501;30297691818948;83
637065;3584936709798006;6
307254;6331106868974181;62
223787;4905637515559073792;8
150263;3585844964844813;49
626811;3568588115606453;70
163327;56022580248964976;32
322394;5172990415488884;49
458289;3540599186715696;33
968268;3564544133165752;34
926287;5298600530180212;5
78950;63048677703452504;29
440690;560224203125586880;75
283718;3550120258925670;92
65015;3542427889566299;38
127393;4175001447889428;99
628488;3565498419889073;69
317485;337941663905882;22
645181;6392137656889618;86
964937;6759285324250197;1
623199;4844018750847083;68
924501;3588146329453471;61
871868;56022546698907616;78
735197;3533591898131154;6
793020;3532843410134864;88
991798;3560472207542868;26
135244;3543908937663989;76
358884;6378147875999682;19
885500;3568137979867536;93
284859;5018309241254251520;82
381461;56022578196000880;72
70981;3559711689505841;36
653751;5610811018067547;65
935618;3540211321291597;77
321923;5602234986189906;75
181177;3582594778114373;61
631764;5100139029761834;33
588009;5565111096903183;76
692923;5602242757790638;40
328625;3584198668740574;38
875319;4041592399489;83
59359;5002359795652244;98
778198;3579968978120528;32
926968;4041373166537;93
480198;3545024635616754;62
511291;3568196167491236;6
753441;4026268834765104;77
638657;3567240832224498;43
968893;560223976537027520;39
112359;3558072380125038;9
970584;5100147358493424;16
419870;30580193924359;93
303679;30155694386596;3
686842;5007662992878453;8
864472;3569240267908266;59
249219;5007664208296983;45
635760;3545693776933275;43
915709;201579228615506;29
772146;3552853928624855;49
772186;3551822514951833;96
503596;3568738041415327;18
