NOMBRE;CIUDAD;DIRECCION;ID_LOCALVENTAS
Del Sol;Tete;084 Delladonna Plaza;7
Lakewood;Inhumas;681 Mccormick Junction;6
Browning;Hammam-Lif;36081 Saint Paul Center;3
Veith;Iñapari;7491 Reindahl Point;2
Division;Rayevskiy;842 Bonner Junction;2
Ruskin;Longping;21 Lyons Center;10
Kenwood;Zhongdong;63578 New Castle Place;4
Division;Machachi;333 Dorton Avenue;8
Northwestern;Futian;05 Tony Pass;6
Delaware;Hagonoy;673 Petterle Point;5
Anniversary;Armash;7 Pond Trail;6
Barby;Plomárion;7394 Redwing Parkway;3
Dexter;Hīrna;111 Darwin Court;8
Redwing;Dallas;6761 Pankratz Plaza;3
Blue Bill Park;Rajūzah;96724 Moulton Way;2
Fuller;Balboa;4534 Onsgard Park;5
Cardinal;Wanshi;9 Arkansas Park;4
Spaight;Wenlin;002 Glacier Hill Trail;4
Kinsman;Strathmore;8 Shasta Plaza;5
Crowley;Santa Rosa;791 Farmco Terrace;2
Jay;Rudnichnyy;8295 South Alley;7
Stephen;Kolympári;16 Rieder Crossing;1
Bunting;Tsul-Ulaan;867 Melby Trail;1
Hagan;Västra Frölunda;38831 Golf Course Place;9
Mosinee;Golcowa;2538 Mallory Junction;6
Killdeer;Phatthaya;0 Continental Parkway;5
Declaration;Cernache do Bonjardim;85315 Morningstar Park;2
Grover;Dongshui;0510 Thompson Point;10
Meadow Vale;Bořitov;8177 Burrows Alley;2
Holmberg;Foz Sousa;4 Jay Park;9
Green Ridge;Joyabaj;196 Continental Park;10
Summerview;Amangarh;8 Delaware Center;8
Old Gate;Matagami;55 Maple Hill;5
Duke;Shiye;48 Commercial Avenue;9
Mccormick;Nangong;03436 Anniversary Terrace;8
Artisan;Rakai;653 Mifflin Parkway;6
Russell;Kachug;90 Fallview Trail;3
Dovetail;Julayjilah;67 Southridge Plaza;4
International;Malvern;83638 Northland Trail;7
Clarendon;Longcun;5568 Cordelia Street;1
Brickson Park;Pyhäntä;5 Springs Road;1
Swallow;Tōgane;1 Summit Lane;9
Everett;Cabuyao;40 American Ash Circle;5
Michigan;Banqiao;5 Esch Hill;3
Jackson;Qingxi;371 Manitowish Trail;2
High Crossing;Asquipata;12416 Stang Trail;5
Pierstorff;Espinillo;34713 Brown Plaza;4
Dahle;Manola;75 Jana Junction;8
Harbort;Kuala Lumpur;16579 Maple Wood Trail;7
David;Godziszów Pierwszy;8 Surrey Hill;3
Oneill;Fujieda;4468 Chinook Circle;10
Main;Viana;51 Algoma Road;2
Eliot;Ciguna;93022 7th Point;6
Redwing;Alice;89475 David Drive;8
Oakridge;Sabang;189 High Crossing Terrace;6
Rockefeller;Fram;148 Rowland Drive;5
Dawn;Belén;22 Springview Road;3
Chive;Klenica;06 Kropf Terrace;8
Sullivan;Dzel;37 Browning Drive;9
Rutledge;Fershampenuaz;75436 Carberry Pass;10
